date;tavg;wspd;pres
2023-01-01;11,5;10,9;1019
2023-01-02;8,4;8,8;1021,1
2023-01-03;6,8;13,8;1024,3
2023-01-04;2,6;11;1022,7
2023-01-05;7,6;26,4;1006
2023-01-06;1;12,5;1020,7
2023-01-07;1,9;5,1;1021,1
2023-01-08;1,2;14,1;1016,3
2023-01-09;5,3;10,7;1005,9
2023-01-10;5,7;8,9;1013,2
2023-01-11;3,5;8,1;1019,7
2023-01-12;5,5;10,1;1016,8
2023-01-13;5,2;15,2;1013,3
2023-01-14;5,7;10,1;1017,1
2023-01-15;4,5;21,2;1008,1
2023-01-16;3,5;11,1;1002,9
2023-01-17;2,8;8,7;992,9
2023-01-18;2,8;12,5;993,3
2023-01-19;0,7;6;1005,7
2023-01-20;0,6;9,8;1014
2023-01-21;0,7;10,3;1016,6
2023-01-22;1,1;9,3;1029,1
2023-01-23;1,8;5,9;1036,5
2023-01-24;2,6;5,3;1038,9
2023-01-25;0,8;5,3;1033,3
2023-01-26;-0,5;4,4;1023,3
2023-01-27;-1,1;5,7;1022,2
2023-01-28;-0,6;5,6;1024,6
2023-01-29;-0,5;12,3;1022,6
2023-01-30;0,2;15,2;1006,9
2023-01-31;2,3;17,9;1009
2023-02-01;3,2;19,5;1005,4
2023-02-02;2,2;16,5;1007,7
2023-02-03;0,2;14,1;1014,3
2023-02-04;-1,9;19,6;1022,7
2023-02-05;-3,5;12;1036,1
2023-02-06;-4,3;7;1040
2023-02-07;-2,3;11,3;1040,4
2023-02-08;-1,3;5,4;1045,6
2023-02-09;-4,3;6,5;1039,2
2023-02-10;-0,2;11,9;1032,6
2023-02-11;2,6;16,7;1025
2023-02-12;1,5;8,4;1034,6
2023-02-13;4,5;14,9;1032,8
2023-02-14;4;20,1;1033,1
2023-02-15;1,9;6,3;1032,2
2023-02-16;1,5;6,6;1023
2023-02-17;4,5;9,9;1015,1
2023-02-18;6,4;31,1;1008,1
2023-02-19;3,3;20;1012,5
2023-02-20;4;24,9;1011,3
2023-02-21;7,2;34,5;1006,3
2023-02-22;1,5;9,8;1018,7
2023-02-23;0,9;11,4;1018,8
2023-02-24;6;7,1;1003,4
2023-02-25;3,3;12,6;994,2
2023-02-26;-0,1;13,2;1011,6
2023-02-27;-0,7;7,1;1026,3
2023-02-28;-1,2;3,8;1031,8
2023-03-01;-0,7;5,6;1028,2
2023-03-02;-0,4;3,8;1024,4
2023-03-03;-0,6;14,5;1018,6
2023-03-04;0,7;21,6;1010,9
2023-03-05;-2;10,7;1009,2
2023-03-06;-3;5,9;1005,6
2023-03-07;2,7;11,1;1000,9
2023-03-08;2,7;11,6;999,6
2023-03-09;-0,1;12,6;998,3
2023-03-10;6,1;10,7;995,8
2023-03-11;4,1;18,6;993,5
2023-03-12;1;19,1;1010
2023-03-13;6,3;15,2;1008,7
2023-03-14;11,5;17,3;998,9
2023-03-15;4,8;19,6;1010
2023-03-16;2,4;9,6;1021,8
2023-03-17;2,6;9;1025,5
2023-03-18;5,3;15,3;1021,4
2023-03-19;7,8;5,4;1018,6
2023-03-20;8;6,5;1015,5
2023-03-21;7,4;8,4;1015,9
2023-03-22;6,7;6,7;1014,8
2023-03-23;12,7;9,9;1009,6
2023-03-24;14,3;10,1;1007
2023-03-25;10,7;7,9;1004,6
2023-03-26;;;
2023-03-27;4,1;14,7;1004,1
2023-03-28;-0,3;20,5;1014,4
2023-03-29;1,8;15,5;1020,6
2023-03-30;6,7;11,1;1013,5
2023-03-31;11,4;10,5;1003,3
2023-04-01;10,2;8,3;998,9
2023-04-02;5,2;15,2;1011,6
2023-04-03;2,3;19,1;1022,8
2023-04-04;1,1;12;1023,6
2023-04-05;0,3;6,8;1022,7
2023-04-06;1,2;14,6;1018,7
2023-04-07;7;13,5;1015,9
2023-04-08;7,3;8,6;1023,5
2023-04-09;10,3;4,1;1024
2023-04-10;8,8;7,2;1023,2
2023-04-11;9,2;12,1;1014,6
2023-04-12;9,7;7,4;1008,6
2023-04-13;9,4;6;1006,7
2023-04-14;11,2;17,6;1008
2023-04-15;9,4;17;1009,8
2023-04-16;10,2;9,9;1016,7
2023-04-17;10,3;14,3;1021,1
2023-04-18;11,6;15,3;1022,5
2023-04-19;10;11,4;1017,1
2023-04-20;12;13,5;1019,3
2023-04-21;12,3;12,5;1018,5
2023-04-22;12,5;7,1;1015,6
2023-04-23;13,8;10,5;1012,9
2023-04-24;14,3;12,5;1006,6
2023-04-25;9,7;13,2;1004,5
2023-04-26;7,4;18,8;1010,8
2023-04-27;6,4;11,5;1018,7
2023-04-28;6,9;8;1021,2
2023-04-29;11,2;14,6;1015,7
2023-04-30;10,3;13,1;1017,2
2023-05-01;9,3;8,5;1021,4
2023-05-02;13;13,3;1018,1
2023-05-03;11,1;11,6;1024,5
2023-05-04;10,3;9,2;1025
2023-05-05;11,3;9,8;1023,2
2023-05-06;9,1;20,9;1022,2
2023-05-07;6,5;21,5;1024,3
2023-05-08;7,9;12,5;1030,2
2023-05-09;9,6;13,2;1027,9
2023-05-10;11,3;17;1022,6
2023-05-11;12;16,3;1022,5
2023-05-12;13,4;17,8;1023,9
2023-05-13;14,4;11,4;1024,1
2023-05-14;15,3;13;1020,7
2023-05-15;13,9;15,5;1010,4
2023-05-16;15,6;13;1011,3
2023-05-17;13;15,7;1014,5
2023-05-18;8,9;15;1024,5
2023-05-19;12,7;9;1026,1
2023-05-20;17,1;10,3;1025,5
